Name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Sean Murphy,108,438,370,65,93,21,0,21,68,0,0,49,98,0.251,0.365,0.478,0.844,125,177,18,18,0,1,0
Matt Olson,162,720,608,127,172,27,3,54,139,1,0,104,167,0.283,0.389,0.604,0.993,162,367,13,4,0,4,8
Ozzie Albies,148,660,596,96,167,30,5,33,109,13,1,46,107,0.28,0.336,0.513,0.849,124,306,9,8,0,8,2
Orlando Arcia,139,533,488,66,129,25,0,17,65,1,0,39,102,0.264,0.321,0.42,0.741,98,205,14,3,0,3,0
Austin Riley,159,715,636,117,179,32,3,37,97,3,1,59,172,0.281,0.345,0.516,0.861,128,328,18,9,0,11,4
Eddie Rosario,142,516,478,64,122,24,3,21,74,3,4,34,122,0.255,0.305,0.45,0.755,100,215,13,1,1,2,1
Michael Harris II,138,539,505,76,148,33,3,18,57,20,4,25,101,0.293,0.331,0.477,0.808,114,241,8,5,1,3,1
Ronald Acuna Jr.,159,735,643,149,217,35,4,41,106,73,14,80,84,0.337,0.416,0.596,1.012,168,383,15,9,0,3,3
Marcell Ozuna,144,592,530,84,145,29,1,40,100,0,0,57,134,0.274,0.346,0.558,0.905,138,296,9,3,0,2,1
Travis d'Arnaud,74,292,267,31,60,13,0,11,39,0,0,21,67,0.225,0.288,0.397,0.685,82,106,6,3,0,1,0
Kevin Pillar,81,206,197,29,45,10,0,9,32,4,1,6,50,0.228,0.248,0.416,0.664,74,82,2,0,0,3,0
Vaughn Grissom,23,80,75,5,21,3,1,0,9,0,1,2,15,0.28,0.313,0.347,0.659,78,26,2,2,0,1,0
Sam Hilliard,40,78,72,15,17,5,0,3,6,4,0,6,33,0.236,0.295,0.431,0.725,92,31,1,0,0,0,0
Nicky Lopez,25,72,65,13,18,3,0,1,12,2,0,5,10,0.277,0.333,0.369,0.703,89,24,0,1,0,1,0
Forrest Wall,15,15,13,6,6,2,0,1,2,5,1,2,4,0.462,0.533,0.846,1.379,264,11,0,0,0,0,0
Luke Williams,7,9,9,1,0,0,0,0,0,3,0,0,4,0,0,0,0,-100,0,0,0,0,0,0
