Player,Age,Position,Status,Total Salary,Contract Length,Average Yearly Salary
Matt Olson,29,IF,Veteran,168000000,8,21000000
Ronald Acuna Jr.,25,OF,Veteran,100000000,8,12500000
Raisel Iglesias,33,RP,Veteran,58000000,4,14500000
Marcell Ozuna,32,OF,Veteran,65000000,4,16250000
Austin Riley,26,IF,Veteran,212000000,8,21200000
Max Fried,29,SP,Arbitration Year 3,13500000,1,13500000
Eddie Rosario,31,OF,Veteran,18000000,2,9000000
Travis d'Arnaud,34,C,Veteran,8000000,1,8000000
Ozzie Albies,26,IF,Veteran,35000000,7,5000000
Kirby Yates,36,RP,Veteran,8250000,2,4125000
Michael Harris II,22,OF,Veteran,72000000,8,9000000
A.J. Minter,29,RP,Arbitration Year 3,4287500,1,4287500
Sean Murphy,28,C,Veteran,73000000,6,12166667
Kevin Pillar,34,OF,Veteran,3000000,1,3000000
Joe Jimenez,28,RP,Veteran,2765000,1,2765000
Orlando Arcia,28,IF,Veteran,7300000,3,2433333
Pierce Johnson,32,RP,Veteran,5000000,1,5000000
Nicky Lopez,28,IF,Arbitration Year 2,3700000,1,3700000
Jesse Chavez,39,RP,Veteran,1200000,1,1200000
Spencer Strider,24,SP,Veteran,75000000,6,12500000
Michael Tonkin,33,RP,Pre-Arbitration,750000,1,750000
Bryce Elder,24,SP,Pre-Arbitration,720000,1,720000
Brad Hand,33,RP,Veteran,2000000,1,2000000
Daysbel Hernandez,26,RP,Pre-Arbitration,720000,1,720000
Forrest Wall,27,OF,Pre-Arbitration,720000,1,720000
Luke Williams,26,IF,Pre-Arbitration,720000,1,720000
Vaughn Grissom,22,IF,Pre-Arbitration,720000,1,720000
AJ Smith-Shawver,20,RP,Pre-Arbitration,720000,1,720000
Dylan Dodd,25,SP,Pre-Arbitration,720000,1,720000
Charlie Morton,39,SP,Veteran,20000000,1,20000000
Collin McHugh,36,RP,Veteran,10000000,2,5000000
Michael Soroka,25,SP,Arbitration Year 3,2800000,1,2800000
Tyler Matzek,32,RP,Veteran,3100000,2,1550000
Nick Anderson,32,RP,Veteran,875000,1,875000
Kolby Allard,25,SP,Pre-Arbitration,750000,1,750000
Sam Hilliard,29,OF,Pre-Arbitration,750000,1,750000
Kyle Wright,27,OF,Pre-Arbitration,750000,1,750000
Huascar Ynoa,25,SP,Pre-Arbitration,750000,1,750000
Dylan Lee,28,RP,Pre-Arbitration,730000,1,730000
Jackson Stephens,29,RP,Pre-Arbitration,740000,1,740000
