Name,G_x,GS_x,CG_x,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP_x,SB_x,CS_x,CS%,lgCS%,PO.1,Age_x,Position_x,Status_x,Total Salary_x,Contract Length_x,Average Yearly Salary_x,G_y,PA,AB,R_x,H_x,2B,3B,HR_x,RBI,SB_y,CS_y,BB_x,SO_x,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_x,SH,SF,IBB_x,Age_y,Position_y,Status_y,Total Salary_y,Contract Length_y,Average Yearly Salary_y,W,L,W-L%,ERA,G,GS_y,GF,CG_y,SHO,SV,IP,H_y,R_y,ER,HR_y,BB_y,IBB_y,SO_y,HBP_y,BK,WP_y,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Age,Position,Status,Total Salary,Contract Length,Average Yearly Salary
Nicky Lopez,25,19,14,174.1,83,32,50,1,14,0.988,2.0,14.0,4,28,0.0,4.23,3.15,,0.0,0.0,0.0,,,0.0,28,IF,Arbitration Year 2,3700000,1,3700000,25.0,72.0,65.0,13.0,18.0,3.0,0.0,1.0,12.0,2.0,0.0,5.0,10.0,0.277,0.333,0.369,0.703,89.0,24.0,0.0,1.0,0.0,1.0,0.0,28.0,IF,Arbitration Year 2,3700000.0,1.0,3700000.0,0.0,0.0,,7.71,2.0,0.0,2.0,0.0,0.0,0.0,2.1,4.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,66.0,11.4,2.571,15.4,3.9,7.7,0.0,0.0,28.0,IF,Arbitration Year 2,3700000.0,1.0,3700000.0
Luke Williams,4,1,1,17.0,8,5,3,0,0,1.0,0.0,-24.0,1,71,0.0,4.24,1.6,,,,,,,,26,IF,Pre-Arbitration,720000,1,720000,7.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,IF,Pre-Arbitration,720000.0,1.0,720000.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,26.0,IF,Pre-Arbitration,720000.0,1.0,720000.0
Kyle Wright,9,7,0,31.0,8,3,4,1,1,0.875,,,0,0,0.0,2.03,0.78,,2.0,2.0,0.0,0%,19%,0.0,27,OF,Pre-Arbitration,750000,1,750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.25,6.97,9.0,7.0,1.0,0.0,0.0,0.0,31.0,40.0,26.0,24.0,5.0,17.0,0.0,34.0,4.0,0.0,2.0,155.0,64.0,5.19,1.839,11.6,1.5,4.9,9.9,2.0,27.0,OF,Pre-Arbitration,750000.0,1.0,750000.0
Michael Tonkin,45,0,0,80.0,4,1,3,0,0,1.0,,,-2,-5,-1.0,0.45,0.09,,2.0,7.0,0.0,0%,19%,0.0,33,RP,Pre-Arbitration,750000,1,750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,0.7,4.28,45.0,0.0,11.0,0.0,0.0,1.0,80.0,64.0,41.0,38.0,13.0,23.0,1.0,75.0,2.0,1.0,2.0,325.0,104.0,4.43,1.088,7.2,1.5,2.6,8.4,3.26,33.0,RP,Pre-Arbitration,750000.0,1.0,750000.0
Jackson Stephens,5,0,0,12.0,4,2,2,0,0,1.0,,,-1,-17,0.0,3.0,0.8,,1.0,2.0,1.0,33%,19%,0.0,29,RP,Pre-Arbitration,740000,1,740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,3.0,5.0,0.0,2.0,0.0,0.0,0.0,12.0,13.0,4.0,4.0,1.0,5.0,0.0,11.0,0.0,0.0,1.0,52.0,152.0,3.76,1.5,9.8,0.8,3.8,8.3,2.2,29.0,RP,Pre-Arbitration,740000.0,1.0,740000.0
AJ Smith-Shawver,6,5,0,25.1,3,2,1,0,0,1.0,,,-1,-8,0.0,1.07,0.5,,3.0,5.0,1.0,17%,19%,0.0,20,RP,Pre-Arbitration,720000,1,720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,4.26,6.0,5.0,0.0,0.0,0.0,0.0,25.1,17.0,14.0,12.0,7.0,11.0,0.0,20.0,1.0,0.0,3.0,105.0,105.0,6.69,1.105,6.0,2.5,3.9,7.1,1.82,20.0,RP,Pre-Arbitration,720000.0,1.0,720000.0
A.J. Minter,70,0,0,64.2,6,1,5,0,0,1.0,,,-1,-3,0.0,0.84,0.09,,1.0,15.0,4.0,21%,19%,1.0,29,RP,Arbitration Year 3,4287500,1,4287500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,0.333,3.76,70.0,0.0,19.0,0.0,0.0,10.0,64.2,56.0,28.0,27.0,6.0,21.0,2.0,82.0,0.0,1.0,1.0,260.0,118.0,2.9,1.191,7.8,0.8,2.9,11.4,3.9,29.0,RP,Arbitration Year 3,4287500.0,1.0,4287500.0
Collin McHugh,41,1,0,58.2,9,4,5,0,1,1.0,,,0,0,0.0,1.38,0.22,,0.0,3.0,1.0,25%,19%,0.0,36,RP,Veteran,10000000,2,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,0.8,4.3,41.0,1.0,6.0,0.0,0.0,0.0,58.2,70.0,34.0,28.0,5.0,22.0,1.0,47.0,4.0,0.0,0.0,268.0,104.0,4.09,1.568,10.7,0.8,3.4,7.2,2.14,36.0,RP,Veteran,10000000.0,2.0,5000000.0
Dylan Lee,24,1,0,23.2,2,1,1,0,0,1.0,,,0,0,0.0,0.76,0.08,,0.0,3.0,0.0,0%,19%,0.0,28,RP,Pre-Arbitration,730000,1,730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,4.18,24.0,1.0,2.0,0.0,0.0,0.0,23.2,24.0,14.0,11.0,4.0,8.0,0.0,24.0,0.0,0.0,0.0,101.0,107.0,4.44,1.352,9.1,1.5,3.0,9.1,3.0,28.0,RP,Pre-Arbitration,730000.0,1.0,730000.0
Kirby Yates,61,0,0,60.1,8,3,4,1,0,0.875,,,-1,-3,0.0,1.04,0.11,,5.0,11.0,3.0,21%,19%,1.0,36,RP,Veteran,8250000,2,4125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,0.778,3.28,61.0,0.0,16.0,0.0,0.0,5.0,60.1,35.0,22.0,22.0,9.0,37.0,1.0,80.0,5.0,1.0,5.0,254.0,136.0,4.63,1.193,5.2,1.3,5.5,11.9,2.16,36.0,RP,Veteran,8250000.0,2.0,4125000.0
Joe Jimenez,59,0,0,56.1,3,1,2,0,0,1.0,,,-1,-4,0.0,0.48,0.05,,0.0,8.0,0.0,0%,19%,0.0,28,RP,Veteran,2765000,1,2765000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,3.04,59.0,0.0,16.0,0.0,0.0,0.0,56.1,51.0,22.0,19.0,9.0,14.0,0.0,73.0,2.0,0.0,0.0,238.0,147.0,3.59,1.154,8.1,1.4,2.2,11.7,5.21,28.0,RP,Veteran,2765000.0,1.0,2765000.0
Raisel Iglesias,58,0,0,55.2,9,5,4,0,2,1.0,,,1,4,0.0,1.46,0.16,,0.0,0.0,0.0,,,0.0,33,RP,Veteran,58000000,4,14500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,0.556,2.75,58.0,0.0,50.0,0.0,0.0,33.0,55.2,51.0,23.0,17.0,7.0,15.0,2.0,68.0,0.0,0.0,0.0,231.0,162.0,3.26,1.186,8.2,1.1,2.4,11.0,4.53,33.0,RP,Veteran,58000000.0,4.0,14500000.0
Brad Hand,20,0,0,18.0,4,0,4,0,0,1.0,,,0,0,0.0,2.0,0.2,,0.0,3.0,0.0,0%,19%,0.0,33,RP,Veteran,2000000,1,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.5,7.5,20.0,0.0,4.0,0.0,0.0,1.0,18.0,19.0,15.0,15.0,2.0,6.0,2.0,18.0,2.0,0.0,0.0,79.0,60.0,4.03,1.389,9.5,1.0,3.0,9.0,3.0,33.0,RP,Veteran,2000000.0,1.0,2000000.0
Jesse Chavez,36,1,0,34.2,6,1,4,1,1,0.833,,,0,0,0.0,1.3,0.14,,0.0,3.0,1.0,25%,19%,0.0,39,RP,Veteran,1200000,1,1200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.56,36.0,1.0,7.0,0.0,0.0,1.0,34.2,26.0,10.0,6.0,2.0,12.0,0.0,39.0,3.0,0.0,0.0,144.0,287.0,3.05,1.096,6.8,0.5,3.1,10.1,3.25,39.0,RP,Veteran,1200000.0,1.0,1200000.0
Nick Anderson,35,0,0,35.1,2,2,0,0,0,1.0,,,1,6,0.0,0.51,0.06,,1.0,0.0,2.0,100%,19%,0.0,32,RP,Veteran,875000,1,875000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,1.0,3.06,35.0,0.0,3.0,0.0,0.0,1.0,35.1,30.0,14.0,12.0,3.0,9.0,0.0,36.0,0.0,0.0,1.0,141.0,146.0,3.09,1.104,7.6,0.8,2.3,9.2,4.0,32.0,RP,Veteran,875000.0,1.0,875000.0
Pierce Johnson,24,0,0,23.2,4,2,2,0,0,1.0,,,0,0,0.0,1.52,0.17,,1.0,0.0,0.0,,,0.0,32,RP,Veteran,5000000,1,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,0.76,24.0,0.0,2.0,0.0,0.0,0.0,23.2,16.0,6.0,2.0,3.0,5.0,0.0,32.0,0.0,0.0,1.0,89.0,591.0,2.83,0.887,6.1,1.1,1.9,12.2,6.4,32.0,RP,Veteran,5000000.0,1.0,5000000.0
Max Fried,14,14,1,77.2,15,6,7,2,0,0.867,,,-2,-5,0.0,1.51,0.93,,3.0,4.0,2.0,33%,19%,2.0,29,SP,Arbitration Year 3,13500000,1,13500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.889,2.55,14.0,14.0,0.0,1.0,1.0,0.0,77.2,70.0,24.0,22.0,7.0,18.0,0.0,80.0,2.0,0.0,3.0,311.0,174.0,3.14,1.133,8.1,0.8,2.1,9.3,4.44,29.0,SP,Arbitration Year 3,13500000.0,1.0,13500000.0
Charlie Morton,30,30,0,163.1,24,5,18,1,1,0.958,,,-1,-1,-1.0,1.27,0.77,,4.0,16.0,3.0,16%,19%,2.0,39,SP,Veteran,20000000,1,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,12.0,0.538,3.64,30.0,30.0,0.0,0.0,0.0,0.0,163.1,150.0,70.0,66.0,14.0,83.0,2.0,183.0,12.0,2.0,4.0,716.0,122.0,3.87,1.427,8.3,0.8,4.6,10.1,2.2,39.0,SP,Veteran,20000000.0,1.0,20000000.0
Bryce Elder,31,31,0,174.2,25,10,15,0,4,1.0,,,0,0,0.0,1.29,0.81,,11.0,9.0,1.0,10%,19%,0.0,24,SP,Pre-Arbitration,720000,1,720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,0.75,3.81,31.0,31.0,0.0,0.0,0.0,0.0,174.2,160.0,79.0,74.0,19.0,63.0,0.0,128.0,8.0,1.0,11.0,732.0,116.0,4.42,1.277,8.2,1.0,3.2,6.6,2.03,24.0,SP,Pre-Arbitration,720000.0,1.0,720000.0
